Price,Size,Address,Price Per Square Meter,Price Per Square Meter Integer,Latitude,Longitude
€ 1.330.000,152 m²,"Quadrilocale via Savona 25, Solari, Milano",€8750 / m^2,8750,45.4548862,9.1663811
€ 1.100.000,86 m²,"Bilocale via della Moscova 60, Moscova, Milano",€12791 / m^2,12791,45.4787264,9.18298
€ 1.280.000,118 m²,"Quadrilocale via San Martino 15, Ticinese, Milano",€10847 / m^2,10847,45.4532656,9.189917
€ 1.220.000,219 m²,"Appartamento via Laveno 6, San Siro, Milano",€5571 / m^2,5571,45.4778636,9.1394915
€ 2.705.000,216 m²,"Quadrilocale corso Magenta 54, Vincenzo Monti, Milano",€12523 / m^2,12523,45.4691118,9.1711052
€ 289.000,50 m²,"Bilocale via Marco Ulpio Traiano 52, Portello - Parco Vittoria, Milano",€5780 / m^2,5780,45.4869998,9.1496087
€ 632.000,139 m²,"Quadrilocale via Giovanni da Verrazzano 27, Crescenzago, Milano",€4547 / m^2,4547,45.5057555,9.2446295
€ 780.000,35 m²,"Bilocale Galleria Pattari 2, Duomo, Milano",€22286 / m^2,22286,45.4642829,9.1928598
€ 750.000,99 m²,"Trilocale via Plinio 18, Morgagni, Milano",€7576 / m^2,7576,45.4781987,9.2132082
€ 428.000,86 m²,"Trilocale via Stamira d'Ancona 9, Turro, Milano",€4977 / m^2,4977,45.5005207,9.2290972
€ 1.150.000,130 m²,"Appartamento via Archimede, Indipendenza, Milano",€8846 / m^2,8846,45.4635847,9.2078334
€ 397.000,68 m²,"Bilocale via Monte Nevoso 2, Casoretto, Milano",€5838 / m^2,5838,45.4864367,9.2349332
€ 1.148.000,133 m²,"Trilocale via Trezzo d'Adda 14, Solari, Milano",€8632 / m^2,8632,45.4560046,9.1566799
€ 2.695.000,232 m²,"Quadrilocale corso Magenta 54, Vincenzo Monti, Milano",€11616 / m^2,11616,45.4691118,9.1711052
€ 669.000,120 m²,"Loft via Giovanni Antonio Amadeo 57, Ortica, Milano",€5575 / m^2,5575,45.4834232,9.2249058
€ 568.000,97 m²,"Trilocale via Vivarini 5, Pezzotti - Meda, Milano",€5856 / m^2,5856,33.7282667,-112.2009088
€ 695.000,234 m²,"Appartamento via del Ricordo 7, Ponte Nuovo, Milano",€2970 / m^2,2970,45.5106723,9.2455095
€ 850.000,160 m²,"Quadrilocale via Mac Mahon 7, Cenisio, Milano",€5312 / m^2,5312,45.4881016,9.1680895
€ 499.000,87 m²,"Attico via Alfonso Capecelatro 22, San Siro, Milano",€5736 / m^2,5736,45.4703059,9.1311299
€ 730.000,122 m²,"Appartamento via Domenico Cucchiari, Cenisio, Milano",€5984 / m^2,5984,45.4902091,9.1677806
€ 425.000,89 m²,"Trilocale via dei Fiordalisi 4, Lorenteggio, Milano",€4775 / m^2,4775,45.4517112,9.1413982
€ 450.000,87 m²,"Trilocale via Mincio 5, Corvetto, Milano",€5172 / m^2,5172,45.4405791,9.2150077
€ 411.000,62 m²,"Bilocale via Monte Nevoso 2, Casoretto, Milano",€6629 / m^2,6629,45.4864367,9.2349332
€ 730.000,110 m²,"Trilocale via Marciano 8, Argonne - Corsica, Milano",€6636 / m^2,6636,43.415243,9.0516885
€ 633.000,127 m²,"Quadrilocale via Stamira d'Ancona 9, Turro, Milano",€4984 / m^2,4984,45.4994438,9.2287972
€ 388.575,114 m²,"Trilocale via Barnaba Oriani 58/60, Certosa, Milano",€3409 / m^2,3409,45.5009102,9.1330361
€ 355.000,94 m²,"Trilocale via Pasquale Miglioretti 2, Affori, Milano",€3777 / m^2,3777,45.5216795,9.1722865
€ 590.000,135 m²,"Attico via Bertinoro 9, QT8, Milano",€4370 / m^2,4370,45.4845427,9.142443
€ 780.000,36 m²,"Bilocale Galleria Pattari 2, Duomo, Milano",€21667 / m^2,21667,45.4642829,9.1928598
"€ 278.000€ 293.000(-5,1%)",73 m²,"Trilocale via Ebro 12, Ripamonti, Milano",€3808 / m^2,3808,45.4392974,9.1984909
